PY_DM_TAG,MERCHANT_CAT,TRANSACTION_DATE,PERIOD,MONTH,MCC,INDUSTRY,MERCHANT_NAME,TRXN_CODE,AMOUNT,TRXN_COUNT,CARD_ACCEPTOR_ID,USD_PHP_TAG,DB_CR_TAG,DB_CR_AMOUNT,CONVERTED_AMOUNT
Payment Facilitator,2C2P,2026-03-09,2026,3,4511,AIRLINES,2C2P_PH*PH AirAsia,Credit Transaction,107806.5100000000000000,7,7250000006364,0,Credit,-107806.5100000000000000,-107806.5100000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,4511,AIRLINES,2C2P_PH*PH AirAsia,Sale Transaction,48623273.8300000000000000,5774,7250000006364,0,Debit,48623273.8300000000000000,48623273.8300000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,4511,AIRLINES,2C2P_PH*PH AirAsia,Sale Transaction,5636363.0700000000000000,669,7250000006435,0,Debit,5636363.0700000000000000,5636363.0700000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,5499,FOOD,2C2P_PH*Riman,Sale Transaction,298308.3900000000000000,17,7250000005935,0,Debit,298308.3900000000000000,298308.3900000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,5499,FOOD,2C2P_PH*RiwayPH,Sale Transaction,400000.0000000000000000,4,7250000005935,0,Debit,400000.0000000000000000,400000.0000000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,5691,RETAIL,2C2P_PH*Salomon,Sale Transaction,11990.0000000000000000,1,7250000005953,0,Debit,11990.0000000000000000,11990.0000000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,5732,ELECTRONICS,2C2P_PH*TECHDYNAMICS,Sale Transaction,136459.0000000000000000,5,7250000005953,0,Debit,136459.0000000000000000,136459.0000000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,5814,FAST FOOD RESTAURANTS,2C2P_PH*Chagee,Sale Transaction,170725.1000000000000000,634,7250000005935,0,Debit,170725.1000000000000000,170725.1000000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,7011,HOTELS,2C2P_PH*Canvas Hotel,Sale Transaction,38840.0000000000000000,3,7250000005953,0,Debit,38840.0000000000000000,38840.0000000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,7011,HOTELS,2C2P_PH*SPIN Hostel,Sale Transaction,11640.0000000000000000,2,7250000005953,0,Debit,11640.0000000000000000,11640.0000000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,7538,OTHER,2C2P_PH*VINFAST,Sale Transaction,1.0000000000000000,1,7250000005953,0,Debit,1.0000000000000000,1.0000000000000000
Payment Facilitator,2C2P,2026-03-09,2026,3,8211,SCHOOLS,2C2P_PH*PH Christian,Sale Transaction,84169.2200000000000000,7,7250000005935,0,Debit,84169.2200000000000000,84169.2200000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,4511,AIRLINES,2C2P_PH*PH AirAsia,Sale Transaction,36710631.8500000000000000,3600,7250000006364,0,Debit,36710631.8500000000000000,36710631.8500000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,4511,AIRLINES,2C2P_PH*PH AirAsia,Sale Transaction,4472921.8400000000000000,419,7250000006435,0,Debit,4472921.8400000000000000,4472921.8400000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,5499,FOOD,2C2P_PH*RiwayPH,Sale Transaction,180500.0000000000000000,1,7250000005935,0,Debit,180500.0000000000000000,180500.0000000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,5499,FOOD,2C2P_PH*Riman,Sale Transaction,243940.6400000000000000,12,7250000005935,0,Debit,243940.6400000000000000,243940.6400000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,5691,RETAIL,2C2P_PH*Salomon,Sale Transaction,22881.0000000000000000,2,7250000005953,0,Debit,22881.0000000000000000,22881.0000000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,5814,FAST FOOD RESTAURANTS,2C2P_PH*Chagee,Sale Transaction,54820.4000000000000000,212,7250000005935,0,Debit,54820.4000000000000000,54820.4000000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,7011,HOTELS,2C2P_PH*SPIN Hostel,Sale Transaction,19800.0000000000000000,2,7250000005953,0,Debit,19800.0000000000000000,19800.0000000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,7399,OFFICE SERVICE,2C2P_PH*AKRYMI,Sale Transaction,182.9000000000000000,1,7250000005953,0,Debit,182.9000000000000000,182.9000000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,7538,OTHER,2C2P_PH*VINFAST,Sale Transaction,2.0000000000000000,2,7250000005953,0,Debit,2.0000000000000000,2.0000000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,7538,OTHER,2C2P_PH*VINFAST,Credit Transaction,1.0000000000000000,1,7250000005953,0,Credit,-1.0000000000000000,-1.0000000000000000
Payment Facilitator,2C2P,2026-03-10,2026,3,8211,SCHOOLS,2C2P_PH*PH Christian,Sale Transaction,49632.0000000000000000,3,7250000005935,0,Debit,49632.0000000000000000,49632.0000000000000000
